Effective config:
  preset=none difficulty=medium
  games=10000000 train=True
  placement_strategy=model
  enemy_fixed_schedule=False
  enemy_smooth_mix=False

Main agent ready      (6,295,286 params, obs=1259, actions=245)
Placement agent ready (105,791 params)
Device: cpu
Run configuration:
  Main agent: 6,295,286 params (obs=1259, actions=245)
  Main weights: capstone_agent/models/capstone_model.pt
  Placement agent: strategy=model, 105,791 params
  Placement weights: capstone_agent/models/placement_model.pt
  Opponent: rl-capstone [frozen champion: main=capstone_agent/models/champion_main_play.pt, placement=capstone_agent/models/champion_placement.pt]
  Self-play ladder: enabled
  Champion history dir: capstone_agent/models/champion_history/selfplay_run1
  Map: TOURNAMENT / fixed (seed=0)
  Training: enabled, trigger=steps, every 4096 transitions, periodic_save_every=10000 games
  Replay JSON save: disabled
  Benchmark CSV: capstone_agent/benchmarks/selfplay_10m_run1.csv
  Device: cpu

Game   45/10000000:       LOST  steps= 213  reward=-0.9  [wr300=51.1%(45); by_enemy: rl-capstone(champion)=51.1%(45)]
Game   46/10000000:       LOST  steps= 359  reward=-1.2  [wr300=50.0%(46); by_enemy: rl-capstone(champion)=50.0%(46)]
Game   47/10000000:       LOST  steps= 180  reward=-1.0  [wr300=48.9%(47); by_enemy: rl-capstone(champion)=48.9%(47)]
Game   48/10000000:        WON  steps= 359  reward=+1.4  [wr300=50.0%(48); by_enemy: rl-capstone(champion)=50.0%(48)]
Game   49/10000000:       LOST  steps= 354  reward=-0.9  [wr300=49.0%(49); by_enemy: rl-capstone(champion)=49.0%(49)]
Game   50/10000000:       LOST  steps= 243  reward=-1.1  [wr300=48.0%(50); by_enemy: rl-capstone(champion)=48.0%(50)]
Game   51/10000000:       LOST  steps= 332  reward=-0.9  [wr300=47.1%(51); by_enemy: rl-capstone(champion)=47.1%(51)]
Game   52/10000000:        WON  steps= 304  reward=+1.4  [wr300=48.1%(52); by_enemy: rl-capstone(champion)=48.1%(52)]
Game   53/10000000:        WON  steps= 176  reward=+1.5  [wr300=49.1%(53); by_enemy: rl-capstone(champion)=49.1%(53)]
Game   54/10000000:       LOST  steps= 236  reward=-1.0  [wr300=48.1%(54); by_enemy: rl-capstone(champion)=48.1%(54)]
Game   55/10000000:        WON  steps= 203  reward=+1.5  [wr300=49.1%(55); by_enemy: rl-capstone(champion)=49.1%(55)]
Game   56/10000000:       LOST  steps= 374  reward=-0.8  [wr300=48.2%(56); by_enemy: rl-capstone(champion)=48.2%(56)]
Game   57/10000000:       LOST  steps= 320  reward=-1.2  [wr300=47.4%(57); by_enemy: rl-capstone(champion)=47.4%(57)]
Game   58/10000000:        WON  steps= 383  reward=+1.3  [wr300=48.3%(58); by_enemy: rl-capstone(champion)=48.3%(58)]
  trained PPO on 4462 buffered transitions (games in batch: 15; trigger=steps: buffered transitions reached 4462)
Game   59/10000000:        WON  steps= 322  reward=+1.4  [wr300=49.2%(59); by_enemy: rl-capstone(champion)=49.2%(59)]
Game   60/10000000:       LOST  steps= 224  reward=-1.1  [wr300=48.3%(60); by_enemy: rl-capstone(champion)=48.3%(60)]
Game   61/10000000:       LOST  steps= 223  reward=-0.9  [wr300=47.5%(61); by_enemy: rl-capstone(champion)=47.5%(61)]
Game   62/10000000:       LOST  steps= 407  reward=-1.0  [wr300=46.8%(62); by_enemy: rl-capstone(champion)=46.8%(62)]
Game   63/10000000:       LOST  steps= 346  reward=-1.2  [wr300=46.0%(63); by_enemy: rl-capstone(champion)=46.0%(63)]
Game   64/10000000:       LOST  steps= 294  reward=-1.2  [wr300=45.3%(64); by_enemy: rl-capstone(champion)=45.3%(64)]
Game   65/10000000:       LOST  steps= 332  reward=-1.2  [wr300=44.6%(65); by_enemy: rl-capstone(champion)=44.6%(65)]
Game   66/10000000:       LOST  steps= 315  reward=-0.9  [wr300=43.9%(66); by_enemy: rl-capstone(champion)=43.9%(66)]
Game   67/10000000:       LOST  steps= 439  reward=-1.3  [wr300=43.3%(67); by_enemy: rl-capstone(champion)=43.3%(67)]
Game   68/10000000:       LOST  steps=  95  reward=-1.0  [wr300=42.6%(68); by_enemy: rl-capstone(champion)=42.6%(68)]
Game   69/10000000:       LOST  steps= 367  reward=-1.2  [wr300=42.0%(69); by_enemy: rl-capstone(champion)=42.0%(69)]
Game   70/10000000:       LOST  steps= 154  reward=-1.0  [wr300=41.4%(70); by_enemy: rl-capstone(champion)=41.4%(70)]
Game   71/10000000:        WON  steps= 303  reward=+1.4  [wr300=42.3%(71); by_enemy: rl-capstone(champion)=42.3%(71)]
Game   72/10000000:        WON  steps= 206  reward=+1.5  [wr300=43.1%(72); by_enemy: rl-capstone(champion)=43.1%(72)]
Game   73/10000000:       LOST  steps= 258  reward=-1.1  [wr300=42.5%(73); by_enemy: rl-capstone(champion)=42.5%(73)]
Game   74/10000000:        WON  steps= 253  reward=+1.5  [wr300=43.2%(74); by_enemy: rl-capstone(champion)=43.2%(74)]
Game   75/10000000:        WON  steps= 383  reward=+1.3  [wr300=44.0%(75); by_enemy: rl-capstone(champion)=44.0%(75)]
Game   76/10000000:       LOST  steps= 353  reward=-1.2  [wr300=43.4%(76); by_enemy: rl-capstone(champion)=43.4%(76)]
Game   77/10000000:        WON  steps= 345  reward=+1.4  [wr300=44.2%(77); by_enemy: rl-capstone(champion)=44.2%(77)]
Game   78/10000000:        WON  steps= 299  reward=+1.4  [wr300=44.9%(78); by_enemy: rl-capstone(champion)=44.9%(78)]
Game   79/10000000:       LOST  steps= 164  reward=-1.0  [wr300=44.3%(79); by_enemy: rl-capstone(champion)=44.3%(79)]
Game   80/10000000:        WON  steps= 568  reward=+1.1  [wr300=45.0%(80); by_enemy: rl-capstone(champion)=45.0%(80)]
Game   81/10000000:       LOST  steps= 376  reward=-1.2  [wr300=44.4%(81); by_enemy: rl-capstone(champion)=44.4%(81)]
Game   82/10000000:        WON  steps= 359  reward=+1.3  [wr300=45.1%(82); by_enemy: rl-capstone(champion)=45.1%(82)]
Game   83/10000000:       LOST  steps= 545  reward=-1.1  [wr300=44.6%(83); by_enemy: rl-capstone(champion)=44.6%(83)]
Game   84/10000000:       LOST  steps= 249  reward=-1.1  [wr300=44.0%(84); by_enemy: rl-capstone(champion)=44.0%(84)]
Game   85/10000000:       LOST  steps= 301  reward=-1.2  [wr300=43.5%(85); by_enemy: rl-capstone(champion)=43.5%(85)]
Game   86/10000000:        WON  steps= 178  reward=+1.6  [wr300=44.2%(86); by_enemy: rl-capstone(champion)=44.2%(86)]
Game   87/10000000:        WON  steps= 217  reward=+1.5  [wr300=44.8%(87); by_enemy: rl-capstone(champion)=44.8%(87)]
Game   88/10000000:       LOST  steps= 274  reward=-1.1  [wr300=44.3%(88); by_enemy: rl-capstone(champion)=44.3%(88)]
Game   89/10000000:       LOST  steps= 211  reward=-1.1  [wr300=43.8%(89); by_enemy: rl-capstone(champion)=43.8%(89)]
