=== 2026-04-05T20:17:06-04:00 neuner_vs_alphabeta start cwd=/hpc/home/wjn7/catan_ai ===
=== GPU check ===
GPU 0: NVIDIA RTX 5000 Ada Generation (UUID: GPU-59c4ee0f-b317-ac8a-e75d-67c9e2b77278)
torch 2.10.0+cu128 cuda_available True
NVIDIA RTX 5000 Ada Generation
Effective config:
  preset=none difficulty=medium
  games=1000000 train=True
  placement_strategy=alphabeta
  enemy_fixed_schedule=False
  enemy_smooth_mix=False

Main agent ready      (6,295,286 params, obs=1259, actions=245)
Placement agent ready (alphabeta(depth=2, prunning=True))
Device: cuda
Run configuration:
  Main agent: 6,295,286 params (obs=1259, actions=245)
  Main weights: /hpc/home/wjn7/catan_ai/capstone_agent/models/capstone_model.pt
  Placement agent: strategy=alphabeta, alphabeta(depth=2, prunning=True)
  Placement weights: [none loaded]
  Opponent: alphabeta (depth=2, prunning=True)
  Self-play ladder: disabled
  Map: TOURNAMENT / fixed (seed=0)
  Training: enabled, trigger=steps, every 4096 transitions, periodic_save_every=2000 games, numbered main checkpoint copies
  Replay JSON save: enabled, dir=/hpc/home/wjn7/catan_ai/capstone_agent/models/neuner_vs_alphabeta/replays, every 100 games
  Benchmark CSV: /hpc/home/wjn7/catan_ai/capstone_agent/models/neuner_vs_alphabeta/benchmark_games.csv
  PPO metrics CSV: /hpc/home/wjn7/catan_ai/capstone_agent/models/neuner_vs_alphabeta/ppo_training.csv
  Device: cuda

Game   42/1000000:       LOST  steps= 103  reward=-0.7  [wr300=0.0%(42); by_enemy: alphabeta@2=0.0%(42)]
Game   43/1000000:       LOST  steps= 106  reward=-0.7  [wr300=0.0%(43); by_enemy: alphabeta@2=0.0%(43)]
Game   44/1000000:       LOST  steps= 119  reward=-0.7  [wr300=0.0%(44); by_enemy: alphabeta@2=0.0%(44)]
  trained PPO on 4170 buffered transitions (games in batch: 44; trigger=steps: buffered transitions reached 4170)
Game   45/1000000:       LOST  steps=  82  reward=-0.8  [wr300=0.0%(45); by_enemy: alphabeta@2=0.0%(45)]
Game   46/1000000:       LOST  steps=  82  reward=-0.9  [wr300=0.0%(46); by_enemy: alphabeta@2=0.0%(46)]
Game   47/1000000:       LOST  steps=  79  reward=-0.9  [wr300=0.0%(47); by_enemy: alphabeta@2=0.0%(47)]
Game   48/1000000:       LOST  steps= 112  reward=-0.7  [wr300=0.0%(48); by_enemy: alphabeta@2=0.0%(48)]
Game   49/1000000:       LOST  steps=  64  reward=-0.7  [wr300=0.0%(49); by_enemy: alphabeta@2=0.0%(49)]
Game   50/1000000:       LOST  steps= 102  reward=-0.7  [wr300=0.0%(50); by_enemy: alphabeta@2=0.0%(50)]
Game   51/1000000:       LOST  steps=  65  reward=-0.8  [wr300=0.0%(51); by_enemy: alphabeta@2=0.0%(51)]
Game   52/1000000:       LOST  steps=  99  reward=-0.8  [wr300=0.0%(52); by_enemy: alphabeta@2=0.0%(52)]
Game   53/1000000:       LOST  steps= 101  reward=-0.8  [wr300=0.0%(53); by_enemy: alphabeta@2=0.0%(53)]
Game   54/1000000:       LOST  steps= 159  reward=-0.9  [wr300=0.0%(54); by_enemy: alphabeta@2=0.0%(54)]
Game   55/1000000:        WON  steps= 187  reward=+1.5  [wr300=1.8%(55); by_enemy: alphabeta@2=1.8%(55)]
Game   56/1000000:       LOST  steps= 132  reward=-0.8  [wr300=1.8%(56); by_enemy: alphabeta@2=1.8%(56)]
Game   57/1000000:       LOST  steps=  93  reward=-0.7  [wr300=1.8%(57); by_enemy: alphabeta@2=1.8%(57)]
Game   58/1000000:       LOST  steps=  75  reward=-0.8  [wr300=1.7%(58); by_enemy: alphabeta@2=1.7%(58)]
Game   59/1000000:       LOST  steps= 132  reward=-0.8  [wr300=1.7%(59); by_enemy: alphabeta@2=1.7%(59)]
